14m;700;"8 MONTANT 686 mm; 14 Traverse Sup/Inf 2000 mm; 14 Parecloses grands 466 mm; 14 Parecloses petits 2000 mm; 2 Parecloses 686 mm; Largeur des panneaux: 1982 mm; Hauteur des panneaux: 478 mm; Nombre de panneaux: 7; 8 Bouchons; 8 Platines; 32 Vis DIN 6328 6,3X75; 128 Vis DIN 7504N 4,8X19; 32 Chevilles CH M6X70; 32 Equerres;"
16m;700;"9 MONTANT 686 mm; 16 Traverse Sup/Inf 2000 mm; 16 Parecloses grands 466 mm; 16 Parecloses petits 2000 mm; 2 Parecloses 686 mm; Largeur des panneaux: 1982 mm; Hauteur des panneaux: 478 mm; Nombre de panneaux: 8; 9 Bouchons; 9 Platines; 36 Vis DIN 6328 6,3X75; 144 Vis DIN 7504N 4,8X19; 36 Chevilles CH M6X70; 36 Equerres;"
18m;700;"10 MONTANT 686 mm; 18 Traverse Sup/Inf 2000 mm; 18 Parecloses grands 466 mm; 18 Parecloses petits 2000 mm; 2 Parecloses 686 mm; Largeur des panneaux: 1982 mm; Hauteur des panneaux: 478 mm; Nombre de panneaux: 9; 10 Bouchons; 10 Platines; 40 Vis DIN 6328 6,3X75; 160 Vis DIN 7504N 4,8X19; 40 Chevilles CH M6X70; 40 Equerres;"
20m;700;"11 MONTANT 686 mm; 20 Traverse Sup/Inf 2000 mm; 20 Parecloses grands 466 mm; 20 Parecloses petits 2000 mm; 2 Parecloses 686 mm; Largeur des panneaux: 1982 mm; Hauteur des panneaux: 478 mm; Nombre de panneaux: 10; 11 Bouchons; 11 Platines; 44 Vis DIN 6328 6,3X75; 176 Vis DIN 7504N 4,8X19; 44 Chevilles CH M6X70; 44 Equerres;"
22m;700;"12 MONTANT 686 mm; 22 Traverse Sup/Inf 2000 mm; 22 Parecloses grands 466 mm; 22 Parecloses petits 2000 mm; 2 Parecloses 686 mm; Largeur des panneaux: 1982 mm; Hauteur des panneaux: 478 mm; Nombre de panneaux: 11; 12 Bouchons; 12 Platines; 48 Vis DIN 6328 6,3X75; 192 Vis DIN 7504N 4,8X19; 48 Chevilles CH M6X70; 48 Equerres;"
24m;700;"13 MONTANT 686 mm; 24 Traverse Sup/Inf 2000 mm; 24 Parecloses grands 466 mm; 24 Parecloses petits 2000 mm; 2 Parecloses 686 mm; Largeur des panneaux: 1982 mm; Hauteur des panneaux: 478 mm; Nombre de panneaux: 12; 13 Bouchons; 13 Platines; 52 Vis DIN 6328 6,3X75; 208 Vis DIN 7504N 4,8X19; 52 Chevilles CH M6X70; 52 Equerres;"
26m;700;"14 MONTANT 686 mm; 26 Traverse Sup/Inf 2000 mm; 26 Parecloses grands 466 mm; 26 Parecloses petits 2000 mm; 2 Parecloses 686 mm; Largeur des panneaux: 1982 mm; Hauteur des panneaux: 478 mm; Nombre de panneaux: 13; 14 Bouchons; 14 Platines; 56 Vis DIN 6328 6,3X75; 224 Vis DIN 7504N 4,8X19; 56 Chevilles CH M6X70; 56 Equerres;"
28m;700;"15 MONTANT 686 mm; 28 Traverse Sup/Inf 2000 mm; 28 Parecloses grands 466 mm; 28 Parecloses petits 2000 mm; 2 Parecloses 686 mm; Largeur des panneaux: 1982 mm; Hauteur des panneaux: 478 mm; Nombre de panneaux: 14; 15 Bouchons; 15 Platines; 60 Vis DIN 6328 6,3X75; 240 Vis DIN 7504N 4,8X19; 60 Chevilles CH M6X70; 60 Equerres;"
30m;700;"16 MONTANT 686 mm; 30 Traverse Sup/Inf 2000 mm; 30 Parecloses grands 466 mm; 30 Parecloses petits 2000 mm; 2 Parecloses 686 mm; Largeur des panneaux: 1982 mm; Hauteur des panneaux: 478 mm; Nombre de panneaux: 15; 16 Bouchons; 16 Platines; 64 Vis DIN 6328 6,3X75; 256 Vis DIN 7504N 4,8X19; 64 Chevilles CH M6X70; 64 Equerres;"
32m;700;"17 MONTANT 686 mm; 32 Traverse Sup/Inf 2000 mm; 32 Parecloses grands 466 mm; 32 Parecloses petits 2000 mm; 2 Parecloses 686 mm; Largeur des panneaux: 1982 mm; Hauteur des panneaux: 478 mm; Nombre de panneaux: 16; 17 Bouchons; 17 Platines; 68 Vis DIN 6328 6,3X75; 272 Vis DIN 7504N 4,8X19; 68 Chevilles CH M6X70; 68 Equerres;"
34m;700;"18 MONTANT 686 mm; 34 Traverse Sup/Inf 2000 mm; 34 Parecloses grands 466 mm; 34 Parecloses petits 2000 mm; 2 Parecloses 686 mm; Largeur des panneaux: 1982 mm; Hauteur des panneaux: 478 mm; Nombre de panneaux: 17; 18 Bouchons; 18 Platines; 72 Vis DIN 6328 6,3X75; 288 Vis DIN 7504N 4,8X19; 72 Chevilles CH M6X70; 72 Equerres;"
36m;700;"19 MONTANT 686 mm; 36 Traverse Sup/Inf 2000 mm; 36 Parecloses grands 466 mm; 36 Parecloses petits 2000 mm; 2 Parecloses 686 mm; Largeur des panneaux: 1982 mm; Hauteur des panneaux: 478 mm; Nombre de panneaux: 18; 19 Bouchons; 19 Platines; 76 Vis DIN 6328 6,3X75; 304 Vis DIN 7504N 4,8X19; 76 Chevilles CH M6X70; 76 Equerres;"
38m;700;"20 MONTANT 686 mm; 38 Traverse Sup/Inf 2000 mm; 38 Parecloses grands 466 mm; 38 Parecloses petits 2000 mm; 2 Parecloses 686 mm; Largeur des panneaux: 1982 mm; Hauteur des panneaux: 478 mm; Nombre de panneaux: 19; 20 Bouchons; 20 Platines; 80 Vis DIN 6328 6,3X75; 320 Vis DIN 7504N 4,8X19; 80 Chevilles CH M6X70; 80 Equerres;"
40m;700;"21 MONTANT 686 mm; 40 Traverse Sup/Inf 2000 mm; 40 Parecloses grands 466 mm; 40 Parecloses petits 2000 mm; 2 Parecloses 686 mm; Largeur des panneaux: 1982 mm; Hauteur des panneaux: 478 mm; Nombre de panneaux: 20; 21 Bouchons; 21 Platines; 84 Vis DIN 6328 6,3X75; 336 Vis DIN 7504N 4,8X19; 84 Chevilles CH M6X70; 84 Equerres;"
42m;700;"22 MONTANT 686 mm; 42 Traverse Sup/Inf 2000 mm; 42 Parecloses grands 466 mm; 42 Parecloses petits 2000 mm; 2 Parecloses 686 mm; Largeur des panneaux: 1982 mm; Hauteur des panneaux: 478 mm; Nombre de panneaux: 21; 22 Bouchons; 22 Platines; 88 Vis DIN 6328 6,3X75; 352 Vis DIN 7504N 4,8X19; 88 Chevilles CH M6X70; 88 Equerres;"
44m;700;"23 MONTANT 686 mm; 44 Traverse Sup/Inf 2000 mm; 44 Parecloses grands 466 mm; 44 Parecloses petits 2000 mm; 2 Parecloses 686 mm; Largeur des panneaux: 1982 mm; Hauteur des panneaux: 478 mm; Nombre de panneaux: 22; 23 Bouchons; 23 Platines; 92 Vis DIN 6328 6,3X75; 368 Vis DIN 7504N 4,8X19; 92 Chevilles CH M6X70; 92 Equerres;"
46m;700;"24 MONTANT 686 mm; 46 Traverse Sup/Inf 2000 mm; 46 Parecloses grands 466 mm; 46 Parecloses petits 2000 mm; 2 Parecloses 686 mm; Largeur des panneaux: 1982 mm; Hauteur des panneaux: 478 mm; Nombre de panneaux: 23; 24 Bouchons; 24 Platines; 96 Vis DIN 6328 6,3X75; 384 Vis DIN 7504N 4,8X19; 96 Chevilles CH M6X70; 96 Equerres;"
48m;700;"25 MONTANT 686 mm; 48 Traverse Sup/Inf 2000 mm; 48 Parecloses grands 466 mm; 48 Parecloses petits 2000 mm; 2 Parecloses 686 mm; Largeur des panneaux: 1982 mm; Hauteur des panneaux: 478 mm; Nombre de panneaux: 24; 25 Bouchons; 25 Platines; 100 Vis DIN 6328 6,3X75; 400 Vis DIN 7504N 4,8X19; 100 Chevilles CH M6X70; 100 Equerres;"
50m;700;"26 MONTANT 686 mm; 50 Traverse Sup/Inf 2000 mm; 50 Parecloses grands 466 mm; 50 Parecloses petits 2000 mm; 2 Parecloses 686 mm; Largeur des panneaux: 1982 mm; Hauteur des panneaux: 478 mm; Nombre de panneaux: 25; 26 Bouchons; 26 Platines; 104 Vis DIN 6328 6,3X75; 416 Vis DIN 7504N 4,8X19; 104 Chevilles CH M6X70; 104 Equerres;"
10m;900;"6 MONTANT 886 mm; 10 Traverse Sup/Inf 2000 mm; 10 Parecloses grands 666 mm; 10 Parecloses petits 2000 mm; 2 Parecloses 886 mm; Largeur des panneaux: 1982 mm; Hauteur des panneaux: 678 mm; Nombre de panneaux: 5; 6 Bouchons; 6 Platines; 24 Vis DIN 6328 6,3X75; 96 Vis DIN 7504N 4,8X19; 24 Chevilles CH M6X70; 24 Equerres;"
12m;900;"7 MONTANT 886 mm; 12 Traverse Sup/Inf 2000 mm; 12 Parecloses grands 666 mm; 12 Parecloses petits 2000 mm; 2 Parecloses 886 mm; Largeur des panneaux: 1982 mm; Hauteur des panneaux: 678 mm; Nombre de panneaux: 6; 7 Bouchons; 7 Platines; 28 Vis DIN 6328 6,3X75; 112 Vis DIN 7504N 4,8X19; 28 Chevilles CH M6X70; 28 Equerres;"
14m;900;"8 MONTANT 886 mm; 14 Traverse Sup/Inf 2000 mm; 14 Parecloses grands 666 mm; 14 Parecloses petits 2000 mm; 2 Parecloses 886 mm; Largeur des panneaux: 1982 mm; Hauteur des panneaux: 678 mm; Nombre de panneaux: 7; 8 Bouchons; 8 Platines; 32 Vis DIN 6328 6,3X75; 128 Vis DIN 7504N 4,8X19; 32 Chevilles CH M6X70; 32 Equerres;"
